param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
species.maturity.size.ratio.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp13,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
species.maturity.size.ratio.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species.maturity.size.ratio.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
predation.predPrey.sizeRatio.teta.sp0.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp0.stage1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp1.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp1.stage1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp2.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp2.stage1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp3.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp3.stage1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp4.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.alpha.sp4.stage1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp5.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp5.stage2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp5.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
