predation.accessibility.poorCod.stage0.prey.sp8.stage1,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp9.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp10.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp11.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp11.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp12.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp12.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp13.stage0,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp13.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage0.prey.sp14.stage0,gs,0,logit
predation.accessibility.poorCod.stage0.prey.sp15.stage0,gs,0,logit
predation.accessibility.poorCod.stage1.prey.sp0.stage0,gs,0,logit
predation.accessibility.poorCod.stage1.prey.sp0.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp1.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp1.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp2.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp2.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp3.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp3.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp4.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp4.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp5.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp5.stage1,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp6.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp6.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp7.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp7.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp8.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp8.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp9.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp10.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp11.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp11.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp12.stage0,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp12.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp13.stage0,gs,0,logit
predation.accessibility.poorCod.stage1.prey.sp13.stage1,gs,0.4,logit
predation.accessibility.poorCod.stage1.prey.sp14.stage0,gs,0.8,logit
predation.accessibility.poorCod.stage1.prey.sp15.stage0,gs,0,logit
predation.predPrey.sizeRatio.theta.sp4.stage0,gs,gs,logit
predation.predPrey.sizeRatio.theta.sp4.stage0,gs,gs,logit
mortality.starvation.rate.max.sp4,gs,gs,log
species.vonbertalanffy.threshold.age.sp4,gs,gs,logit
species.egg.size.sp4,er,er,log
predation.efficiency.critical.sp4,er,er,logit
predation.ingestion.rate.max.sp4,er,er,log
mortality.natural.rate.sp4,mc,mc,log
mortality.natural.larva.rate.Lx.sp4,mc,mc,log
species.sexratio.sp4,hqd,hqd,logit
species.l0.sp4,hqd,hqd,logit
species.K.sp4,hqd,hqd,log
species.lInf.sp4,hqd,hqd,log
species.maturity.size.sp4,hqd,hqd,logit
